cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength,frequency1,frequency2,frequency_band
CM0260,CM1094,Kala traders-CM0260-23G/1599-23-ODU-1(RTNRF-1),CPC_HO_IBS-CM1094-23G/1599-23-ODU-1(RTNRF-1),Colombo,Colombo,6.928056,6.938333,79.876111,79.877778,curw_orugodawatta,1.1855938872437486,6.943741,79.87887,586,1811,1.1513715788363725," 23,198.00 "," 21,966.00 ",23
CM0050,CM0633,Kolonnawa-CM0050-26G/690-23-ODU-1(RTNRF-1),Kolonnawa_Town-CM0633-26G/690-23-ODU-1(RTNRF-1),Colombo,Colombo,6.93378,6.93295,79.8875,79.8938,curw_orugodawatta,1.735343683982703,6.943741,79.87887,795,2020,0.7022429547264869," 26,134.00 "," 25,126.00 ",26
GM0045,GM0372,Thorana_Jn-GM0045-26G/601-23-ODU-1(RTNRF-1),Dalugamgoda-GM0372-26G/601-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.968,6.97338,79.9058,79.9127,curw_orugodawatta,4.48917293454279,6.943741,79.87887,333,1558,0.9671351802507774," 25,966.50 "," 24,958.50 ",26
CM0174,CM0231,Thursten-CM0174-23G/1314-24-ODU-1(RTNRF-1),Bullers_Rd-CM0231-23G/1314-24-ODU-1(RTNRF-1),Colombo,Colombo,6.903611,6.902222,79.8575,79.868333,curw_orugodawatta,4.846836595130841,6.943741,79.87887,1109,2334,1.2070545277396396," 23,114.00 "," 21,882.00 ",23
CM0589,CM0062,Crow_Island-CM0589-26G/678-24-ODU-1(RTNRF-1),Mattakkuliya_North-CM0062-26G/678-24-ODU-1(RTNRF-1),Colombo,Colombo,6.97356,6.97301,79.8723,79.8757,curw_orugodawatta,3.311311783110844,6.943741,79.87887,381,1606,0.38059685843696006," 26,106.50 "," 25,098.50 ",26
GM0015,GM0584,Handala-GM0015-26G/1336-23-ODU-1(RTNRF-1),ALWIS_TOWN-GM0584-26G/1336-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.9977,6.991528,79.886,79.886,curw_orugodawatta,5.680976983896101,6.943741,79.87887,1191,2416,0.6825660691036747," 26,022.50 "," 25,014.50 ",26
CM0786,CM0421,Ascon_Ind-CM0786-26G/806-23-ODU-1(RTNRF-1),Mahawela_Gardens-CM0421-26G/806-23-ODU-1(RTNRF-1),Colombo,Colombo,6.93818,6.93997,79.8787,79.8806,curw_orugodawatta,0.5231650386566464,6.943741,79.87887,882,2107,0.2885715427418543," 25,028.50 "," 26,036.50 ",26
CM0027,CM0302,Grandpass-CM0027-26G/838-24-ODU-1(RTNRF-1),Cyril_C_Perera_Mw-CM0302-26G/838-24-ODU-1(RTNRF-1),Colombo,Colombo,6.94608,6.94584,79.8699,79.8651,curw_orugodawatta,1.2802176613204241,6.943741,79.87887,14,1239,0.5311014688298169," 26,064.50 "," 25,056.50 ",26
CM0883,CM0165,Jayasumanarama_Airtel-CM0883-23G/924-23-ODU-1(RTNRF-1),Ratmalana-CM0165-23G/924-23-ODU-1(RTNRF-1),Colombo,Colombo,6.815833,6.83251,79.867778,79.8677,curw_thurstan_college,8.75947871922284,6.90293,79.85932,485,1710,1.8443288224765877," 23,211.00 "," 21,979.00 ",23
CM0165,CM0342,Ratmalana-CM0165-23G/930-24-ODU-1(RTNRF-1),Ratmalana_East-CM0342-23G/930-24-ODU-1(RTNRF-1),Colombo,Colombo,6.83251,6.82144,79.8677,79.881,curw_thurstan_college,8.562565332273037,6.90293,79.85932,1128,2353,1.9131119760766038," 21,938.00 "," 23,170.00 ",23
